ile. These should be placed in the same directory with the same file name, e.g. infected.vmem and infected.vmss.
Progress:  100.00               PDB scanning finished
PID     Process Args

4       System  -
268     smss.exe        \SystemRoot\System32\smss.exe
356     csrss.exe       %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
396     wininit.exe     wininit.exe
404     csrss.exe       %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
460     winlogon.exe    winlogon.exe
496     services.exe    C:\Windows\system32\services.exe
504     lsass.exe       C:\Windows\system32\lsass.exe
512     lsm.exe C:\Windows\system32\lsm.exe
620     svchost.exe     C:\Windows\system32\svchost.exe -k DcomLaunch
688     svchost.exe     C:\Windows\system32\svchost.exe -k RPCSS
736     svchost.exe     C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
856     svchost.exe     C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
896     svchost.exe     C:\Windows\system32\svchost.exe -k netsvcs
1000    svchost.exe     C:\Windows\system32\svchost.exe -k LocalService
1068    svchost.exe     C:\Windows\system32\svchost.exe -k NetworkService
1196    spoolsv.exe     C:\Windows\System32\spoolsv.exe
1252    svchost.exe     C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
1348    taskhost.exe    "taskhost.exe"
1424    dwm.exe "C:\Windows\system32\Dwm.exe"
1456    explorer.exe    C:\Windows\Explorer.EXE
1560    VGAuthService.  "C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
1688    vm3dservice.ex  "C:\Windows\System32\vm3dservice.exe" -u
1700    vmtoolsd.exe    "C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" -n vmusr
1720    vmtoolsd.exe    "C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
2032    svchost.exe     C:\Windows\system32\svchost.exe -k bthsvcs
1296    WmiPrvSE.exe    C:\Windows\system32\wbem\wmiprvse.exe
1740    dllhost.exe     C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
2044    msdtc.exe       C:\Windows\System32\msdtc.exe
2232    SearchIndexer.  C:\Windows\system32\SearchIndexer.exe /Embedding
2304    SearchProtocol  "C:\Windows\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe1_ Global\UsGthrCtrlFltPipeMssGthrPipe1 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon"
2732    or4qtckT.exe    "C:\Users\hacker\Desktop\or4qtckT.exe"
2968    taskhsvc.exe    TaskData\Tor\taskhsvc.exe
2976    conhost.exe     \??\C:\Windows\system32\conhost.exe
3968    @WanaDecryptor  @WanaDecryptor@.exe
2204    svchost.exe     C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
2432    sppsvc.exe      C:\Windows\system32\sppsvc.exe
2380    svchost.exe     C:\Windows\System32\svchost.exe -k secsvcs
2508    svchost.exe     C:\Windows\system32\svchost.exe -k defragsvc
3008    SearchFilterHo  "C:\Windows\system32\SearchFilterHost.exe" 0 524 528 536 65536 532
208     WmiPrvSE.exe    C:\Windows\system32\wbem\wmiprvse.exe
